

 ------- Summary -----------

 Trial: 00

 Single Pointing

 IPA Pointing No:         100

 Pointing information:

 RA, Dec of Central Pointing:
 Nod 0:     53.1409714   -27.7919712

 Official Assigned APT/MPT roll angle:
 PA_AP:    99.574600

 Actual MSA roll angle:
 PA_AP:    99.579041
 PA_V3:   321.004456

 RA, Dec of Nodded Pointings:
 Nod 1:     53.1411352   -27.7919957
 Nod 2:     53.1408077   -27.7919468

 MSA mask intended for: PRISM/CLEAR         

 Acceptance Zone Thresholds:  0.343 0.420
 Acceptance Zone Open Area Filling Factor:  0.576

 Overlap Acceptance Threshold: 3.500

 Total number of targets in input catalog:           13119
 Number of targets in Viable Slitlets:                1565
 Number of accepted targets:                           155
 Number of added spare slitlets:                         0


 Target breakdown by Priority Class:

   PrCl   In Catalog   In Slitlets   Accepted   % Accepted
    1           4           4           4         100.00
    2           2           1           1         100.00
    3           4           1           1         100.00
    4         129          27          24          88.89
    5          19           4           2          50.00
    6          46           7           2          28.57
    7          89          14           5          35.71
    8           2           1           0           0.00
    9           5           0           0            NaN
   10          15           4           0           0.00
   11          20           3           1          33.33
   12         412          47          24          51.06
   13         830         103          25          24.27
   14        1502         166          22          13.25
   15        1910         237          19           8.02
   16           3           0           0            NaN
   17        2391         282           9           3.19
   18        2506         324          12           3.70
   19         466          60           0           0.00
   20        2127         280           4           1.43


 Accepted targets, assigned slitlets and intra-shutter locations:

  No    ID_sub        ID_cat  pri  k0 i0  j0   rx0    ry0    k2 i2  j2   rx2    ry2    k1 i1  j1   rx1    ry1
  83      1308         15344  13   2 190 148 -0.250  0.111   2 190 147 -0.244  0.096   2 190 149 -0.256  0.126
  84      1363           546  13   3 230  97 -0.259 -0.405   3 230  96 -0.269 -0.395   3 230  98 -0.250 -0.415
  85      1390          9451  13   3  79 141 -0.267 -0.088   3  79 140 -0.271 -0.082   3  79 142 -0.263 -0.094
  86      1449           269  13   3 288  74 -0.102  0.319   3 288  73 -0.114  0.332   3 288  75 -0.090  0.307
  87      1450         13578  13   2 268 114  0.231  0.190   2 268 113  0.235  0.178   2 268 115  0.226  0.203
  88      1542          9848  13   1 183 102  0.206 -0.084   1 183 101  0.216 -0.075   1 183 103  0.196 -0.094
  89      1552         11825  13   2 253  35 -0.022  0.038   2 253  34 -0.016  0.032   2 253  36 -0.027  0.044
  90      1607            76  14   3 341  38 -0.287 -0.178   3 341  37 -0.301 -0.162   3 341  39 -0.273 -0.193
  91      1614          9198  14   1 199  98  0.198 -0.170   1 199  97  0.207 -0.160   1 199  99  0.189 -0.179
  92      1680          4259  14   1 125  61  0.082 -0.041   1 125  60  0.094 -0.028   1 125  62  0.069 -0.054
  93      1752           633  14   3 202  89 -0.295 -0.038   3 202  88 -0.304 -0.027   3 202  90 -0.286 -0.049
  94      1794         11378  14   4  94  87  0.048 -0.035   4  94  86  0.043 -0.045   4  94  88  0.052 -0.025
  95      1811          5577  14   3 287  18 -0.310 -0.368   3 287  17 -0.322 -0.350   3 287  19 -0.297 -0.385
  96      1817          6145  14   3  43  63  0.175 -0.140   3  43  62  0.173 -0.127   3  43  64  0.178 -0.153
  97      1827          9131  14   1  84 129 -0.304 -0.017   1  84 128 -0.291 -0.010   1  84 130 -0.318 -0.025
  98      1829          7974  14   1 119  16 -0.049 -0.292   1 119  15 -0.036 -0.275   1 119  17 -0.062 -0.309
  99      1872         35336  14   4 332 139 -0.274  0.256   4 332 138 -0.284  0.243   4 332 140 -0.263  0.270
 100      1873         11980  14   2 210 101 -0.142 -0.022   2 210 100 -0.136 -0.033   2 210 102 -0.148 -0.010
 101      1902         13923  14   2  26  32 -0.189 -0.343   2  26  31 -0.177 -0.348   2  26  33 -0.202 -0.337
 102      2022         13597  14   2 143  97  0.301  0.332   2 143  96  0.309  0.321   2 143  98  0.293  0.343
 103      2098         11264  14   4 145  31 -0.222  0.413   4 145  30 -0.228  0.407   4 145  32 -0.216  0.418
 104      2107         35295  14   4 323  98  0.273  0.075   4 323  97  0.262  0.065   4 323  99  0.284  0.085
 105      2410         16442  14   2  14 154 -0.121 -0.009   2  14 153 -0.111 -0.024   2  14 155 -0.131  0.006
 106      2550        110391  14   2 279 135 -0.063 -0.127   2 279 134 -0.059 -0.141   2 279 136 -0.066 -0.113
 107      2741            85  14   3 339  42  0.245 -0.248   3 339  41  0.231 -0.233   3 339  43  0.259 -0.264
 108      2816         11898  14   2 226  55  0.313 -0.370   2 226  54  0.319 -0.378   2 226  56  0.306 -0.363
 109      2820         12106  14   2 144  14  0.021 -0.177   2 144  13  0.030 -0.181   2 144  15  0.011 -0.173
 110      2952         11849  14   2 262 107  0.289 -0.293   2 262 106  0.293 -0.305   2 262 108  0.284 -0.281
 111      3060        110744  14   4 143  44  0.150 -0.403   4 143  43  0.144 -0.409   4 143  45  0.156 -0.396
 112      3174          6054  15   3  81  93 -0.215  0.123   3  81  92 -0.219  0.134   3  81  94 -0.211  0.113
 113      3298          8310  15   1 181 118 -0.213  0.293   1 181 117 -0.203  0.301   1 181 119 -0.223  0.285
 114      3387          1014  15   3 132 106 -0.038 -0.135   3 132 105 -0.044 -0.125   3 132 107 -0.032 -0.144
 115      3404         37137  15   4  59 114  0.059 -0.254   4  59 113  0.056 -0.267   4  59 115  0.062 -0.242
 116      3420          9087  15   1  56 145  0.104  0.020   1  56 144  0.118  0.026   1  56 146  0.090  0.014
 117      3430          9246  15   3  67  17  0.250 -0.325   3  67  16  0.247 -0.307   3  67  18  0.253 -0.342
 118      3462          6157  15   3  25  25  0.330 -0.197   3  25  24  0.328 -0.180   3  25  26  0.331 -0.213
 119      3531          6235  15   3  50 167 -0.259 -0.004   3  50 166 -0.261 -0.001   3  50 168 -0.256 -0.008
 120      3627          6381  15   4  59  48  0.084 -0.139   4  59  47  0.081 -0.146   4  59  49  0.087 -0.132
 121      3780         10691  15   3 307 129 -0.193  0.403   3 307 128 -0.206  0.411   3 307 130 -0.181  0.396
 122      3866         11957  15   2 216  92 -0.152  0.357   2 216  91 -0.146  0.346   2 216  93 -0.158  0.367
 123      3973         12682  15   2  16 124 -0.044 -0.412   2  16 123 -0.033 -0.424   2  16 125 -0.055 -0.399
 124      3980         35180  15   4 350 108 -0.221 -0.086   4 350 107 -0.232 -0.097   4 350 109 -0.209 -0.075
 125      4354         10587  15   3 346 167 -0.267  0.140   3 346 166 -0.280  0.144   3 346 168 -0.253  0.135
 126      4701         13378  15   2 111  64 -0.321 -0.322   2 111  63 -0.312 -0.330   2 111  65 -0.331 -0.313
 127      4811          1926  15   4  70  55 -0.120  0.133   4  70  54 -0.124  0.125   4  70  56 -0.117  0.140
 128      4830          5882  15   3 136 101 -0.206 -0.130   3 136 100 -0.212 -0.120   3 136 102 -0.199 -0.140
 129      4849         12110  15   2 158  60 -0.170 -0.198   2 158  59 -0.162 -0.206   2 158  61 -0.178 -0.190
 130      4913         12615  15   2  18  77 -0.010  0.012   2  18  76  0.002  0.003   2  18  78 -0.022  0.021
 131      5078          1790  17   4  82  39  0.269 -0.025   4  82  38  0.265 -0.031   4  82  40  0.273 -0.019
 132      5080           413  17   3 249  56 -0.306  0.135   3 249  55 -0.316  0.149   3 249  57 -0.295  0.121
 133      5375          1283  17   3 116 151 -0.152 -0.415   3 116 150 -0.157 -0.410   3 116 152 -0.147 -0.420
 134      5463           143  17   3 323  50 -0.010 -0.238   3 323  49 -0.023 -0.224   3 323  51  0.004 -0.253
 135      5706          6171  17   3  33  52 -0.136 -0.169   3  33  51 -0.138 -0.155   3  33  53 -0.134 -0.183
 136      6287          3729  17   2 255  28 -0.022  0.380   2 255  27 -0.017  0.374   2 255  29 -0.028  0.385
 137      6797          3788  17   1  14 109  0.196 -0.185   1  14 108  0.212 -0.176   1  14 110  0.180 -0.194
 138      6966          1832  17   3  24 131  0.194 -0.357   3  24 130  0.192 -0.350   3  24 132  0.196 -0.364
 139      7109          4420  17   1 220 154 -0.241  0.111   1 220 153 -0.233  0.116   1 220 155 -0.249  0.106
 140      7614         11976  18   2 202  72 -0.323 -0.311   2 202  71 -0.316 -0.320   2 202  73 -0.329 -0.302
 141      7620         39029  18   2 264 139 -0.313 -0.139   2 264 138 -0.308 -0.154   2 264 140 -0.317 -0.125
 142      7705         12477  18   2  69 108  0.253 -0.009   2  69 107  0.263 -0.021   2  69 109  0.243  0.002
 143      7820         35977  18   4 238 145  0.198 -0.072   4 238 144  0.191 -0.086   4 238 146  0.206 -0.058
 144      7914         10642  18   3 334 162  0.290 -0.155   3 334 161  0.277 -0.150   3 334 163  0.303 -0.160
 145      7940          8160  18   1 103  65  0.166  0.232   1 103  64  0.179  0.245   1 103  66  0.153  0.219
 146      8385          5645  18   3 260  78  0.190  0.125   3 260  77  0.179  0.137   3 260  79  0.201  0.113
 147      8595           411  18   3 270 120  0.309 -0.162   3 270 119  0.298 -0.154   3 270 121  0.321 -0.170
 148      8703        104786  18   2 239 123  0.164  0.298   2 239 122  0.169  0.285   2 239 124  0.159  0.312
 149      9133         35217  18   4 331  86  0.263 -0.258   4 331  85  0.252 -0.267   4 331  87  0.274 -0.248
 150      9350         12566  18   2  39 117  0.261  0.182   2  39 116  0.272  0.170   2  39 118  0.251  0.195
 151      9825          5680  18   3 264 125  0.161 -0.151   3 264 124  0.150 -0.143   3 264 126  0.172 -0.159
 152     10517        106443  20   4  78  79  0.011  0.301   4  78  78  0.007  0.291   4  78  80  0.014  0.310
 153     10577        107514  20   2  26  21 -0.213 -0.176   2  26  20 -0.200 -0.180   2  26  22 -0.226 -0.172
 154     10829        105275  20   3 248 111 -0.086 -0.129   3 248 110 -0.096 -0.120   3 248 112 -0.076 -0.138
 155     11196        107531  20   2  11  71 -0.322 -0.120   2  11  70 -0.310 -0.128   2  11  72 -0.334 -0.112


 Sky Background Slitlets added to the MSA Mask:

